"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2008-09-28","88.5","1.77","6.41","Scott Olsen",136860,435179,"home_run","hit_into_play_score",,,,,"20","Carlos Beltran homers (27) on a fly ball to left center field.   Robinson Cancel scores.  ","R","R","L","NYM","FLA","X","null","fly_ball",1,0,2008,"0.87","1.36","0.60","3.29","null","null",236155,1,6,"Bot","60.24","35.14",,,"null",,"080928_154105",-5.377,-128.653,-4.351,12.179,24.08,-18.363,"3.12","1.56","null","null","null","null","null","null",236178,435179,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",46,"2","2-Seam Fastball",0,2,0,2,2,0,0,2,"null","null"
"FT","2008-09-28","94.9","-0.98","5.90","Kelvin Jimenez",458015,459376,"home_run","hit_into_play_score",,,,,"6","Joey Votto homers (25) on a fly ball to right field.  ","R","L","R","STL","CIN","X","null","fly_ball",3,2,2008,"-1.24","0.91","0.29","3.05","null","null","null",0,6,"Top","209.84","50.20",,,"null",,"080928_145442",6.268,-138.04,-3.6,-15.255,32.546,-22.538,"3.79","1.75","null","null","null","null","null","null",236175,459376,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",50,"6","2-Seam Fastball",11,3,3,11,3,11,3,11,"null","null"
"SI","2008-09-28","90.7","-2.81","6.14","Zach Miner",400134,435261,"home_run","hit_into_play_score",,,,,"7","Eric Hinske homers (20) on a line drive to right center field.    Willy Aybar scores.  ","R","L","R","DET","TB","X","null","line_drive",0,1,2008,"-1.56","1.16","-0.28","2.06","null",430632,"null",2,5,"Top","189.76","39.16",,,"null",,"080928_143007",10.073,-131.541,-6.697,-18.095,27.378,-20.329,"3.48","1.56","null","null","null","null","null","null",236184,435261,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",39,"2","Sinker",5,1,1,5,1,5,1,5,"null","null"
"CH","2008-09-28","77.7","-2.57","6.26","Zach Miner",408306,435261,"home_run","hit_into_play_score",,,,,"6","Rocco Baldelli homers (4) on a fly ball to center field.  ","R","R","R","DET","TB","X","null","fly_ball",2,1,2008,"-1.60","0.95","0.47","2.18","null","null","null",0,5,"Top","77.31","13.05",,,"null",,"080928_142145",9.843,-112.668,-3.419,-13.68,19.558,-25.354,"3.38","1.50","null","null","null","null","null","null",236184,435261,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",35,"4","Changeup",5,0,0,5,0,5,0,5,"null","null"
"null","2008-09-28","null","null","null","Alfredo Simon",150484,430580,"home_run","hit_into_play_score",,,,,"null","Vernon Wells homers (20) on a line drive to left field.   Joe Inglett scores.    Marco Scutaro scores.  ","R","R","R","BAL","TOR","X","null","line_drive",1,2,2008,"null","null","null","null",446928,340192,"null",1,5,"Top","18.07","63.25",,,"null",,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",236186,430580,"null","null","null","null","null","null","null","null","null","null","null","2.00","null",0,3,"null",35,"4","null",0,3,3,0,3,0,3,0,"null","null"
"null","2008-09-28","null","null","null","Kevin Millwood",435063,119154,"home_run","hit_into_play_score",,,,,"null","Mike Napoli homers (20) on a fly ball to left center field.  ","R","R","R","LAA","TEX","X","null","fly_ball",0,0,2008,"null","null","null","null","null","null","null",0,5,"Bot","78.31","37.15",,,"null",,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",236185,119154,"null","null","null","null","null","null","null","null","null","null","null","2.00","null",0,3,"null",33,"1","null",1,0,1,0,0,1,1,0,"null","null"
"SI","2008-09-28","88.6","-2.67","5.47","Brad Thompson",429665,433581,"home_run","hit_into_play_score",,,,,"38","Edwin Encarnacion homers (27) on a line drive to left field.   Joey Votto scores.  ","R","R","R","STL","CIN","X","null","line_drive",2,0,2008,"-2.01","0.53","0.15","1.91","null","null",458015,0,4,"Top","52.21","48.19",,,"null",,"080928_142645",11.483,-128.463,-3.331,-22.169,30.893,-28.335,"3.47","1.76","null","null","null","null","null","null",236175,433581,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",36,"3","Sinker",11,1,1,11,1,11,1,11,"null","null"
"null","2008-09-28","null","null","null","Wade LeBlanc",456665,453281,"home_run","hit_into_play_score",,,,,"null","Steve Pearce homers (4) on a line drive to left field.  ","R","R","L","SD","PIT","X","null","line_drive",0,1,2008,"null","null","null","null","null","null","null",0,4,"Top","42.17","51.20",,,"null",,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",236183,453281,"null","null","null","null","null","null","null","null","null","null","null","2.00","null",0,3,"null",29,"2","null",1,1,1,1,1,1,1,1,"null","null"
"null","2008-09-28","null","null","null","Wade LeBlanc",425560,453281,"home_run","hit_into_play_score",,,,,"null","Adam LaRoche homers (25) on a fly ball to right field.  ","R","L","L","SD","PIT","X","null","fly_ball",1,1,2008,"null","null","null","null","null","null","null",0,4,"Top","219.88","64.26",,,"null",,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",236183,453281,"null","null","null","null","null","null","null","null","null","null","null","2.00","null",0,3,"null",28,"3","null",1,0,0,1,0,1,0,1,"null","null"
"FF","2008-09-28","95.1","-2.27","5.25","Daisuke Matsuzaka",294558,493137,"home_run","hit_into_play_score",,,,,"3","Xavier Nady homers (25) on a fly ball to right field.    Bobby Abreu scores.    Alex Rodriguez scores.  ","R","R","R","BOS","NYY","X","null","fly_ball",1,1,2008,"-1.10","1.38","0.50","3.03","null",110029,121347,2,4,"Top","231.93","88.35",,,"null",,"080928_153144",9.906,-138.139,-2.889,-13.102,38.889,-16.657,"3.44","1.75","null","null","null","null","null","null",236181,493137,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",25,"3","4-Seam Fastball",0,0,0,0,0,0,0,0,"null","null"
