"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2008-08-16","79.8","-1.57","6.41","Dennis Sarfate",408234,430610,"home_run","hit_into_play_score",,,,,"42","Miguel Cabrera homers (25) on a fly ball to left center field.  ","R","R","R","DET","BAL","X","null","fly_ball",0,1,2008,"0.40","-0.74","0.22","1.58","null","null","null",0,4,"Bot","63.25","20.08",,,"null",,"080816_201247",2.968,-116.112,-2.101,5.158,21.51,-41.094,"3.50","1.72","null","null","null","null","null","null",235596,430610,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",29,"2","Curveball",1,2,1,2,2,1,1,2,"null","null"
"FF","2008-08-16","89.8","-1.68","7.10","Aaron Harang",407886,421685,"home_run","hit_into_play_score",,,,,"28","Ryan Ludwick homers (31) on a fly ball to left center field.   Aaron Miles scores.  ","R","R","R","CIN","STL","X","null","fly_ball",1,0,2008,"-0.81","1.88","0.61","3.08","null",425446,"null",1,4,"Top","76.31","19.08",,,"null",,"080816_201633",7.542,-130.352,-8.11,-8.491,24.26,-11.737,"3.63","1.75","null","null","null","null","null","null",235606,421685,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",34,"2","4-Seam Fastball",1,6,6,1,6,1,6,1,"null","null"
"FC","2008-08-16","87.7","-0.60","5.86","Brandon Backe",471083,407840,"home_run","hit_into_play_score",,,,,"6","Miguel Montero homers (3) on a fly ball to right field.  ","R","L","R","HOU","ARI","X","null","fly_ball",3,2,2008,"0.26","0.13","0.30","2.44","null","null","null",0,4,"Top","202.81","67.27",,,"null",,"080816_191627",1.367,-127.69,-2.063,4.605,27.151,-32.931,"3.41","1.42","null","null","null","null","null","null",235595,407840,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",29,"7","Cutter",1,5,5,1,5,1,5,1,"null","null"
"SI","2008-08-16","92.2","-0.89","6.05","Anibal Sanchez",111072,434671,"home_run","hit_into_play_score",,,,,"4","Henry Blanco homers (3) on a fly ball to left center field.  ","R","R","R","FLA","CHC","X","null","fly_ball",2,2,2008,"-1.42","1.37","-0.50","2.44","null","null","null",2,4,"Top","61.24","41.16",,,"null",,"080816_201820",4.216,-134.084,-6.321,-16.943,28.294,-17.198,"3.32","1.74","null","null","null","null","null","null",235598,434671,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",29,"5","Sinker",1,0,0,1,0,1,0,1,"null","null"
"FF","2008-08-16","87.4","-1.81","7.24","Aaron Harang",405395,421685,"home_run","hit_into_play_score",,,,,"1","Albert Pujols homers (25) on a fly ball to left field.  ","R","R","R","CIN","STL","X","null","fly_ball",0,0,2008,"-0.41","1.73","-0.36","2.73","null","null","null",0,3,"Top","27.11","68.27",,,"null",,"080816_195111",4.286,-126.948,-8.392,-3.228,25.912,-14.683,"3.09","1.40","null","null","null","null","null","null",235606,421685,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",23,"1","4-Seam Fastball",1,5,5,1,5,1,5,1,"null","null"
"FF","2008-08-16","91.2","-1.92","6.96","Aaron Harang",435401,421685,"home_run","hit_into_play_score",,,,,"2","Skip Schumaker homers (8) on a fly ball to center field.   Felipe Lopez scores.    Aaron Miles scores.  ","R","L","R","CIN","STL","X","null","fly_ball",0,1,2008,"-0.95","1.56","0.08","2.71",150479,"null",425446,2,2,"Top","148.59","20.08",,,"null",,"080816_193606",7.27,-132.385,-8.277,-10.621,25.601,-15.087,"2.92","1.33","null","null","null","null","null","null",235606,421685,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",15,"2","4-Seam Fastball",1,2,2,1,2,1,2,1,"null","null"
"FT","2008-08-16","91.5","-0.62","5.83","Brandon Backe",471083,407840,"home_run","hit_into_play_score",,,,,"5","Miguel Montero hits a grand slam (2) to right field.   Conor Jackson scores.    Adam Dunn scores.    Mark Reynolds scores.  ","R","L","R","HOU","ARI","X","null","fly_ball",3,1,2008,"-1.22","1.33","-0.02","2.62",433582,276055,448602,2,1,"Top","208.84","64.26",,,"null",,"080816_182247",4.199,-133.145,-4.857,-13.847,33.806,-18.254,"3.41","1.42","null","null","null","null","null","null",235595,407840,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",7,"5","2-Seam Fastball",0,1,1,0,1,0,1,0,"null","null"
"FF","2008-08-16","90.3","1.63","6.59","Ryan Rowland-Smith",408045,434884,"home_run","hit_into_play_score",,,,,"2","Joe Mauer homers (8) on a fly ball to left center field.  ","R","L","L","MIN","SEA","X","null","fly_ball",1,2,2008,"0.62","2.23","-0.10","3.38","null","null","null",2,1,"Bot","62.25","37.15",,,"null",,"080816_151020",-6.278,-131.128,-6.771,9.332,30.204,-7.72,"3.70","1.33","null","null","null","null","null","null",235604,434884,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",8,"4","4-Seam Fastball",0,0,0,0,0,0,0,0,"null","null"
"SI","2008-08-16","90.9","-2.55","5.86","Sidney Ponson",460086,132260,"home_run","hit_into_play_score",,,,,"23","Alex Gordon homers (14) on a fly ball to left field.  ","R","L","R","NYY","KC","X","null","fly_ball",1,0,2008,"-1.64","0.89","-0.67","2.03","null","null","null",0,2,"Top","25.10","81.33",,,"null",,"080816_132459",8.599,-132.06,-5.529,-19.379,26.011,-23.549,"3.28","1.47","null","null","null","null","null","null",235600,132260,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",8,"2","Sinker",0,0,0,0,0,0,0,0,"null","null"
"FT","2008-08-16","92.5","-2.90","6.34","John Lackey",113240,407793,"home_run","hit_into_play_score",,,,,"1","David Dellucci homers (11) on a fly ball to center field.  ","R","L","R","CLE","LAA","X","null","fly_ball",2,0,2008,"-1.31","0.63","-0.51","2.75","null","null","null",1,1,"Bot","120.48","9.04",,,"null",,"080816_161139",9.244,-134.354,-4.476,-15.45,30.196,-26.617,"3.30","1.52","null","null","null","null","null","null",235594,407793,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",7,"3","2-Seam Fastball",0,1,0,1,1,0,0,1,"null","null"
"SL","2008-08-16","84.9","1.52","6.97","Sean Marshall",434670,445156,"home_run","hit_into_play_score",,,,,"5","Hanley Ramirez homers (27) on a fly ball to left field.  ","R","R","L","FLA","CHC","X","null","fly_ball",2,1,2008,"-0.64","0.89","-0.07","2.64","null","null","null",0,1,"Bot","44.18","51.20",,,"null",,"080816_192323",-2.707,-123.433,-5.468,-5.681,24.543,-24.717,"3.61","1.74","null","null","null","null","null","null",235598,445156,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",4,"4","Slider",0,0,0,0,0,0,0,0,"null","null"
"FF","2008-08-16","93.9","-1.53","6.03","Edwin Jackson",435079,429719,"home_run","hit_into_play_score",,,,,"5","Ian Kinsler homers (18) on a fly ball to left field.  ","R","R","R","TEX","TB","X","null","fly_ball",0,0,2008,"-0.71","1.65","-0.17","2.41","null","null","null",0,1,"Bot","35.14","51.20",,,"null",,"080816_191752",5.158,-136.501,-7.468,-7.945,26.07,-12.789,"3.25","1.45","null","null","null","null","null","null",235607,429719,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",6,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"null","null"
"CU","2008-08-16","70.3","-1.65","5.93","Dave Bush",444843,433657,"home_run","hit_into_play_score",,,,,"38","Andre Ethier homers (13) on a fly ball to right center field.    Matt Kemp scores.  ","R","L","R","LAD","MIL","X","null","fly_ball",1,1,2008,"0.77","-0.89","0.11","1.47","null",461314,"null",0,1,"Bot","172.69","33.13",,,"null",,"080816_191616",1.841,-102.342,1.136,6.652,22.428,-39.872,"3.22","1.42","null","null","null","null","null","null",235601,433657,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",5,"3","Curveball",0,0,0,0,0,0,0,0,"null","null"
"CH","2008-08-16","82.4","-1.28","5.26","Paul Byrd",425567,111838,"home_run","hit_into_play_score",,,,,"5","Alex Rios homers (9) on a fly ball to left field.   Marco Scutaro scores.  ","R","R","R","BOS","TOR","X","null","fly_ball",1,1,2008,"-1.43","1.13","-0.24","2.34","null","null",340192,1,1,"Top","51.20","63.25",,,"null",,"080816_190852",5.276,-119.911,-2,-13.278,27.665,-22.802,"3.08","1.50","null","null","null","null","null","null",235608,111838,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",3,"3","Changeup",0,0,0,0,0,0,0,0,"null","null"
"FT","2008-08-16","90.4","1.61","6.39","Zach Duke",408314,435043,"home_run","hit_into_play_score",,,,,"22","Jose Reyes homers (13) on a fly ball to left field.  ","R","R","L","PIT","NYM","X","null","fly_ball",3,2,2008,"1.00","1.36","-0.67","2.43","null","null","null",0,1,"Top","18.07","63.25",,,"null",,"080816_190603",-8.613,-131.204,-6.723,14.039,29.324,-18.08,"3.10","1.57","null","null","null","null","null","null",235602,435043,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",1,"6","2-Seam Fastball",0,0,0,0,0,0,0,0,"null","null"
"FF","2008-08-15","94.9","-2.08","6.40","Kevin Gregg",132880,276514,"home_run","hit_into_play_score",,,,,"5","Daryle Ward homers (3) on a fly ball to right center field.    Mark DeRosa scores.    Reed Johnson scores.  ","R","L","R","FLA","CHC","X","null","fly_ball",0,1,2008,"-1.33","1.67","0.05","2.65","null",136660,407862,1,9,"Top","190.76","21.08",,,"null",,"080815_214731",8.79,-137.686,-7.774,-16.354,35.096,-12.706,"3.47","1.66","null","null","null","null","null","null",235583,276514,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",71,"2","4-Seam Fastball",5,3,3,5,3,5,3,5,"null","null"
"FC","2008-08-15","89.9","-1.33","5.90","D.J. Carrasco",435559,425647,"home_run","hit_into_play_score",,,,,"20","Kurt Suzuki homers (6) on a fly ball to left field.   Cliff Pennington scores.  ","R","R","R","OAK","CWS","X","null","fly_ball",3,2,2008,"0.01","0.82","0.62","3.66",460060,"null","null",1,9,"Bot","51.20","41.16",,,"null",,"080815_215013",4.678,-130.846,-0.995,1.772,28.426,-24.65,"3.35","1.34","null","null","null","null","null","null",235582,425647,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",73,"7","Cutter",4,4,4,4,4,4,4,4,"null","null"
"CH","2008-08-15","78.8","2.79","6.00","Tim Byrdak",429663,136263,"home_run","hit_into_play_score",,,,,"6","Chris Burke homers (2) on a fly ball to left field.   Mark Reynolds scores.    Tony Clark scores.  ","R","R","L","HOU","ARI","X","null","fly_ball",0,0,2008,"0.86","1.03","0.33","2.71",448602,"null",112316,2,8,"Top","35.14","73.29",,,"null",,"080815_212854",-7.613,-114.572,-1.948,9.334,24.157,-24.484,"3.45","1.73","null","null","null","null","null","null",235580,136263,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",70,"1","Changeup",2,9,9,2,9,2,9,2,"null","null"
"FF","2008-08-15","94.2","-2.25","5.14","Octavio Dotel",400091,136734,"home_run","hit_into_play_score",,,,,"13","Jack Cust homers (22) on a fly ball to right field.  ","R","L","R","OAK","CWS","X","null","fly_ball",0,2,2008,"-0.68","1.48","-0.05","3.18","null","null","null",2,8,"Bot","219.88","63.25",,,"null",,"080815_212433",7.369,-137.001,-2.538,-7.612,28.647,-15.016,"3.38","1.50","null","null","null","null","null","null",235582,136734,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",66,"3","4-Seam Fastball",3,4,3,4,4,3,3,4,"null","null"
"FF","2008-08-15","91.6","-2.11","5.10","Octavio Dotel",407885,136734,"home_run","hit_into_play_score",,,,,"5","Mark Ellis homers (11) on a fly ball to left field.  ","R","R","R","OAK","CWS","X","null","fly_ball",3,2,2008,"-0.67","1.66","-0.06","2.03","null","null","null",0,8,"Bot","36.14","48.19",,,"null",,"080815_211801",6.675,-133.105,-5.381,-6.914,30.731,-13.915,"3.13","1.47","null","null","null","null","null","null",235582,136734,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",63,"7","4-Seam Fastball",2,4,2,4,4,2,2,4,"null","null"
"FF","2008-08-15","89.5","-1.34","6.36","Carlos Villanueva",431145,453646,"home_run","hit_into_play_score",,,,,"12","Russell Martin homers (11) on a fly ball to left field.  ","R","R","R","LAD","MIL","X","null","fly_ball",0,1,2008,"-0.70","1.74","-0.49","2.92","null","null","null",0,8,"Bot","61.24","43.17",,,"null",,"080815_221102",3.544,-130.143,-6.117,-6.934,29.654,-13.834,"3.00","1.43","null","null","null","null","null","null",235586,453646,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",65,"2","4-Seam Fastball",4,3,4,3,3,4,4,3,"null","null"
"FF","2008-08-15","89.4","2.69","5.85","Tim Byrdak",455759,136263,"home_run","hit_into_play_score",,,,,"21","Chris Young homers (16) on a fly ball to left field.  ","R","R","L","HOU","ARI","X","null","fly_ball",1,1,2008,"0.51","1.57","-0.67","3.19","null","null","null",2,7,"Top","43.17","62.25",,,"null",,"080815_211208",-10.051,-129.828,-3.615,7.661,31.925,-16.037,"3.49","1.77","null","null","null","null","null","null",235580,136263,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",61,"3","4-Seam Fastball",2,8,8,2,8,2,8,2,"null","null"
"FC","2008-08-15","85.7","-1.30","6.14","Duaner Sanchez",333292,400093,"home_run","hit_into_play_score",,,,,"2","Jack Wilson homers (1) on a fly ball to left field.  ","R","R","R","PIT","NYM","X","null","fly_ball",2,1,2008,"0.25","0.65","0.10","2.99","null","null","null",0,8,"Bot","20.08","75.30",,,"null",,"080815_210313",2.567,-124.836,-2.253,4.322,25.798,-27.164,"3.62","1.55","null","null","null","null","null","null",235587,400093,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",59,"4","Cutter",0,2,0,2,2,0,0,2,"null","null"
"FT","2008-08-15","88.6","1.78","6.43","Will Ohman",133160,349193,"home_run","hit_into_play_score",,,,,"3","Randy Winn homers (6) on a fly ball to left field.  ","R","R","L","ATL","SF","X","null","fly_ball",3,1,2008,"0.90","1.65","0.45","2.79","null","null","null",0,8,"Top","44.18","47.19",,,"null",,"080815_213649",-5.835,-128.758,-6.272,12.463,26.722,-15.098,"3.30","1.55","null","null","null","null","null","null",235590,349193,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",56,"5","2-Seam Fastball",1,2,2,1,2,1,2,1,"null","null"
"SI","2008-08-15","88.7","-2.45","5.93","Brandon Webb",421064,425630,"home_run","hit_into_play_score",,,,,"54","Ty Wigginton homers (14) on a fly ball to left field.  ","R","R","R","HOU","ARI","X","null","fly_ball",1,2,2008,"-1.30","-0.02","-1.37","2.48","null","null","null",1,6,"Bot","39.16","76.31",,,"null",,"080815_210424",5.511,-129.126,-1.904,-14.004,30.055,-34.702,"3.55","1.73","null","null","null","null","null","null",235580,425630,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",56,"5","Sinker",1,8,1,8,8,1,1,8,"null","null"
"SI","2008-08-15","92.4","2.74","5.18","Jerry Blevins",435041,460283,"home_run","hit_into_play_score",,,,,"6","Carlos Quentin homers (33) on a fly ball to left center field.  ","R","R","L","OAK","CWS","X","null","fly_ball",0,0,2008,"1.02","1.50","0.38","2.11","null","null","null",0,8,"Top","65.26","42.17",,,"null",,"080815_210559",-9.043,-134.214,-5.082,14.838,32.738,-15.837,"3.38","1.50","null","null","null","null","null","null",235582,460283,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",58,"1","Sinker",2,3,3,2,3,2,3,2,"null","null"
"SL","2008-08-15","81.8","2.93","5.99","Tim Byrdak",430965,136263,"home_run","hit_into_play_score",,,,,"5","Chris Snyder homers (12) on a fly ball to left field.   Tony Clark scores.  ","R","R","L","HOU","ARI","X","null","fly_ball",3,2,2008,"-0.60","0.46","-0.26","2.86","null",112316,"null",2,6,"Top","46.18","66.27",,,"null",,"080815_205808",-6.412,-118.964,-0.922,-4.745,27.391,-29.561,"3.47","1.57","null","null","null","null","null","null",235580,136263,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",53,"6","Slider",1,6,6,1,6,1,6,1,"null","null"
"FF","2008-08-15","92.6","-2.01","6.02","Gavin Floyd",400091,425856,"home_run","hit_into_play_score",,,,,"5","Jack Cust homers (21) on a fly ball to left field.   Frank Thomas scores.  ","R","L","R","OAK","CWS","X","null","fly_ball",1,1,2008,"-0.94","1.35","-0.21","2.73","null","null",123245,1,6,"Bot","45.18","55.22",,,"null",,"080815_204449",6.826,-134.632,-5.501,-10.745,28.33,-17.377,"3.38","1.50","null","null","null","null","null","null",235582,425856,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",49,"3","4-Seam Fastball",0,3,0,3,3,0,0,3,"null","null"
"SI","2008-08-15","86.2","2.27","5.95","Chris Waters",135784,425561,"home_run","hit_into_play_score",,,,,"6","Placido Polanco homers (7) on a fly ball to left center field.   Curtis Granderson scores.  ","R","R","L","DET","BAL","X","null","fly_ball",2,0,2008,"1.44","0.95","0.43","2.37","null","null",434158,1,5,"Bot","51.20","36.14",,,"null",,"080815_203719",-8.15,-125.156,-4.028,17.874,25.559,-23.803,"3.17","1.51","null","null","null","null","null","null",235581,425561,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",46,"3","Sinker",0,4,0,4,4,0,0,4,"null","null"
"SI","2008-08-15","85.2","-1.84","5.66","Greg Maddux",150100,118120,"home_run","hit_into_play_score",,,,,"23","Pat Burrell homers (28) on a line drive to left field.  ","R","R","R","SD","PHI","X","null","line_drive",1,1,2008,"-1.00","1.00","-0.81","2.11","null","null","null",1,7,"Top","58.23","38.15",,,"null",,"080815_203627",4.458,-123.968,-3.759,-9.574,29.521,-23.545,"4.06","1.63","null","null","null","null","null","null",235588,118120,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",44,"3","Sinker",0,0,0,0,0,0,0,0,"null","null"
"FF","2008-08-15","90.4","-2.04","5.59","Tim Redding",425547,400062,"home_run","hit_into_play_score",,,,,"12","Brad Hawpe homers (20) on a fly ball to center field.   Matt Holliday scores.  ","R","L","R","WSH","COL","X","null","fly_ball",3,1,2008,"-0.65","1.62","-0.46","3.17","null",407812,"null",2,5,"Top","146.59","23.09",,,"null",,"080815_210223",5.347,-131.562,-3.376,-6.486,30.289,-14.846,"3.17","1.53","null","null","null","null","null","null",235584,400062,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",41,"5","4-Seam Fastball",2,2,2,2,2,2,2,2,"null","null"
"FT","2008-08-15","92.6","-2.51","6.22","Kevin Millwood",408212,119154,"home_run","hit_into_play_score",,,,,"22","Gabe Gross homers (10) on a fly ball to left center field.  ","R","L","R","TEX","TB","X","null","fly_ball",0,0,2008,"-1.23","1.54","-0.61","2.65","null","null","null",2,5,"Top","78.31","27.11",,,"null",,"080815_203514",7.804,-134.404,-6.752,-14.576,26.287,-14.849,"3.38","1.50","null","null","null","null","null","null",235592,119154,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",38,"1","2-Seam Fastball",0,4,4,0,4,0,4,0,"null","null"
"CU","2008-08-15","73.2","-2.91","6.36","Kevin Millwood",400134,119154,"home_run","hit_into_play_score",,,,,"4","Eric Hinske homers (18) on a fly ball to center field.   Cliff Floyd scores.  ","R","L","R","TEX","TB","X","null","fly_ball",2,2,2008,"0.35","-0.74","-0.37","2.68",114260,"null","null",2,5,"Top","137.55","15.06",,,"null",,"080815_203422",4.4,-106.517,1.711,3.938,19.055,-39.602,"3.38","1.50","null","null","null","null","null","null",235592,119154,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",37,"5","Curveball",0,2,2,0,2,0,2,0,"null","null"
"FF","2008-08-15","91.9","-1.71","6.81","Josh Johnson",136660,435178,"home_run","hit_into_play_score",,,,,"7","Mark DeRosa homers (14) on a fly ball to left center field.   Geovany Soto scores.  ","R","R","R","FLA","CHC","X","null","fly_ball",0,0,2008,"-0.75","1.81","-0.39","2.27","null","null",434567,0,4,"Top","59.24","37.15",,,"null",,"080815_201638",4.973,-133.459,-9.548,-7.935,33.613,-12.159,"3.58","1.71","null","null","null","null","null","null",235583,435178,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",31,"1","4-Seam Fastball",5,1,1,5,1,5,1,5,"null","null"
"FC","2008-08-15","86.5","-3.25","5.87","Kevin Millwood",150289,119154,"home_run","hit_into_play_score",,,,,"7","Carlos Pena homers (24) on a fly ball to right field.  ","R","L","R","TEX","TB","X","null","fly_ball",3,2,2008,"-0.08","0.85","-0.43","2.09","null","null","null",1,5,"Top","220.88","60.24",,,"null",,"080815_202615",6.919,-125.752,-4.444,0.562,23.215,-24.805,"3.38","1.50","null","null","null","null","null","null",235592,119154,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",34,"6","Cutter",0,1,1,0,1,0,1,0,"null","null"
"CH","2008-08-15","84.1","1.77","6.43","Cliff Lee",407487,424324,"home_run","hit_into_play_score",,,,,"5","Juan Rivera homers (8) on a fly ball to left field.  ","R","R","L","CLE","LAA","X","null","fly_ball",0,0,2008,"1.03","1.13","0.20","2.14","null","null","null",0,5,"Top","30.12","65.26",,,"null",,"080815_202414",-6.385,-122.254,-5.697,12.499,25.238,-22.381,"3.28","1.58","null","null","null","null","null","null",235579,424324,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",33,"1","Changeup",1,1,1,1,1,1,1,1,"null","null"
"CH","2008-08-15","82.9","-1.54","6.06","Carlos Silva",430585,400067,"home_run","hit_into_play_score",,,,,"7","Jason Kubel homers (17) on a fly ball to center field.   Justin Morneau scores.  ","R","L","R","MIN","SEA","X","null","fly_ball",1,1,2008,"-1.14","0.97","-0.38","2.01","null","null",408047,0,4,"Bot","137.55","15.06",,,"null",,"080815_200552",5.006,-120.62,-4.556,-10.653,24.053,-24.182,"3.69","1.43","null","null","null","null","null","null",235589,400067,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",30,"3","Changeup",2,2,2,2,2,2,2,2,"null","null"
"FS","2008-08-15","86.4","0.47","6.47","Manny Parra",232694,448159,"home_run","hit_into_play_score",,,,,"8","Casey Blake homers (15) on a fly ball to left field.   Russell Martin scores.  ","R","R","L","LAD","MIL","X","null","fly_ball",3,2,2008,"0.59","0.41","-0.09","2.06","null","null",431145,1,4,"Bot","46.18","54.22",,,"null",,"080815_205104",-3.035,-125.736,-4.829,8.116,29.478,-29.845,"3.52","1.62","null","null","null","null","null","null",235586,448159,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",32,"7","Split-Finger",1,3,1,3,3,1,1,3,"null","null"
"SL","2008-08-15","84.5","-2.81","5.59","Carlos Zambrano",408305,407296,"home_run","hit_into_play_score",,,,,"5","Jorge Cantu homers (21) on a fly ball to left center field.   Josh Johnson scores.    Hanley Ramirez scores.  ","R","R","R","FLA","CHC","X","null","fly_ball",2,2,2008,"0.47","0.50","-0.20","2.36","null",435178,434670,1,3,"Bot","52.21","48.19",,,"null",,"080815_200651",4.972,-123.025,-1.785,6.462,28.171,-28.979,"3.42","1.78","null","null","null","null","null","null",235583,407296,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",25,"5","Slider",1,1,1,1,1,1,1,1,"null","null"
"FF","2008-08-15","91.3","-2.64","6.32","Kevin Millwood",430632,119154,"home_run","hit_into_play_score",,,,,"1","Willy Aybar homers (7) on a fly ball to right field.  ","R","L","R","TEX","TB","X","null","fly_ball",0,0,2008,"-0.99","1.66","-0.53","3.03","null","null","null",0,4,"Top","228.92","100.40",,,"null",,"080815_200416",7.684,-132.622,-6.056,-11.122,25.249,-13.807,"3.38","1.50","null","null","null","null","null","null",235592,119154,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",24,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"null","null"
"SL","2008-08-15","81.9","2.43","6.13","Nate Robertson",206551,425146,"home_run","hit_into_play_score",,,,,"22","Melvin Mora homers (18) on a fly ball to left field.  ","R","R","L","DET","BAL","X","null","fly_ball",1,1,2008,"-0.45","0.17","-0.59","2.49","null","null","null",0,3,"Top","38.15","55.22",,,"null",,"080815_194704",-6.439,-119.06,-1.721,-3.29,21.02,-32.39,"3.29","1.58","null","null","null","null","null","null",235581,425146,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",20,"3","Slider",0,3,3,0,3,0,3,0,"null","null"
"FF","2008-08-15","93.0","-2.00","5.72","Tim Redding",453064,400062,"home_run","hit_into_play_score",,,,,"49","Troy Tulowitzki homers (4) on a fly ball to left center field.  ","R","R","R","WSH","COL","X","null","fly_ball",0,2,2008,"-0.68","1.64","0.16","4.08","null","null","null",1,3,"Top","85.34","17.07",,,"null",,"080815_201503",7.121,-135.211,-1.799,-7.306,30.797,-13.626,"3.20","1.49","null","null","null","null","null","null",235584,400062,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",18,"3","4-Seam Fastball",1,0,0,1,0,1,0,1,"null","null"
"SI","2008-08-15","88.4","-2.75","5.90","Brad Thompson",447736,433581,"home_run","hit_into_play_score",,,,,"13","Chris Dickerson homers (1) on a fly ball to right field.  ","R","L","R","CIN","STL","X","null","fly_ball",1,2,2008,"-1.11","1.25","0.04","3.25","null","null","null",0,1,"Bot","220.88","75.30",,,"null",,"080815_192130",9.359,-128.329,-2.767,-11.701,27.886,-19.892,"3.22","1.52","null","null","null","null","null","null",235591,433581,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",6,"4","Sinker",0,2,0,2,2,0,0,2,"null","null"
"SL","2008-08-15","76.3","-2.46","6.44","Bronson Arroyo",150449,276520,"home_run","hit_into_play_score",,,,,"7","Rick Ankiel homers (23) on a fly ball to right center field.    Ryan Ludwick scores.  ","R","L","R","CIN","STL","X","null","fly_ball",2,2,2008,"1.37","0.21","-0.52","1.93","null",407886,"null",2,1,"Top","193.78","35.14",,,"null",,"080815_191716",1.187,-111.106,-2.533,13.351,21.543,-32.051,"3.42","1.58","null","null","null","null","null","null",235591,276520,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",4,"6","Slider",0,0,0,0,0,0,0,0,"null","null"
